name,skill,variance,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49
5,99,10,25,50,70,80,105,115,140,160,185,210,210,195,190,195,180,190,185,175,160,145,145,160,170,180,180,180,170,175,185,200,195,180,165,165,170,175,190,195,195,175,160,175,190,190,195,185,165,160,155,165
14,98,10,20,40,65,85,95,115,125,140,150,170,165,150,130,135,140,135,140,150,165,155,145,155,165,155,165,175,175,160,160,165,170,180,190,180,180,175,175,190,175,185,200,195,185,190,190,185,195,195,205,205
9,94,10,15,30,45,70,90,95,110,115,120,125,130,140,150,145,150,150,160,160,170,180,170,165,160,160,150,160,160,180,180,185,200,185,185,185,180,180,175,160,155,150,145,155,155,145,150,155,150,155,170,165
15,89,10,15,20,35,50,60,85,105,115,130,145,140,140,135,125,135,135,125,130,135,145,150,155,155,165,165,150,160,165,155,135,135,140,135,130,125,125,115,105,110,115,115,110,115,125,125,140,140,150,140,150
12,84,10,10,20,30,35,50,65,70,95,115,130,125,135,145,155,150,145,145,125,115,120,135,130,125,120,125,120,130,140,145,135,125,115,110,115,120,130,130,130,130,140,140,150,155,155,145,140,135,125,120,115
1,77,10,10,25,35,50,65,75,80,90,105,110,115,115,115,110,110,105,110,110,105,115,105,95,95,95,90,100,95,95,95,90,90,105,100,95,90,85,85,80,95,95,100,85,85,90,95,90,90,95,85,80
10,66,10,5,10,20,25,30,45,55,60,70,75,75,75,70,70,75,65,70,75,70,70,80,85,85,90,85,90,85,80,80,85,75,75,85,85,90,85,80,80,80,75,80,80,75,70,65,65,65,70,70,75
7,65,10,5,15,20,30,35,45,55,70,80,90,90,90,90,85,85,85,80,80,85,80,85,80,85,85,85,85,85,75,65,65,65,65,60,60,65,60,60,60,60,60,65,65,65,65,60,65,65,70,70,75
0,60,10,5,15,20,30,35,40,45,55,65,75,75,70,75,75,75,80,80,75,70,70,70,70,65,60,60,55,55,60,60,55,65,65,70,75,80,85,90,90,90,95,85,85,80,75,75,70,80,75,80,75
2,60,10,10,20,30,40,50,55,70,75,80,85,85,90,85,80,75,85,80,95,95,95,90,85,85,85,90,85,80,65,65,65,70,75,85,95,90,85,90,100,100,110,105,100,95,95,95,95,95,85,90,85
8,51,10,5,10,15,20,30,35,40,50,55,60,60,65,65,70,65,65,70,65,65,65,65,60,60,60,60,60,60,60,60,70,70,70,70,65,65,65,60,60,65,55,55,60,60,60,65,70,80,85,85,85
11,50,10,10,15,20,25,30,35,40,45,50,60,60,65,75,75,75,75,75,75,75,75,75,70,60,60,60,60,65,70,75,70,65,65,65,65,65,70,65,60,55,55,55,55,55,60,60,55,60,60,60,60
13,42,10,5,10,15,20,25,35,40,45,50,55,55,55,55,60,60,55,55,55,60,60,60,60,65,60,60,60,60,60,60,60,60,65,60,60,60,60,65,70,65,65,65,60,60,60,60,60,55,50,50,50
4,37,10,5,10,15,20,25,30,35,40,45,55,55,55,55,55,60,65,65,65,65,60,65,65,65,65,65,60,60,60,60,60,55,60,65,70,65,65,65,65,65,70,70,65,60,55,55,55,55,55,55,50
3,34,10,5,10,15,20,25,30,40,45,50,55,60,60,65,65,65,65,60,60,60,60,55,60,55,55,55,55,55,55,55,60,60,55,55,55,55,55,55,55,60,55,60,60,65,65,65,70,70,70,65,65
6,18,10,5,10,15,20,25,30,35,40,45,50,50,50,50,50,50,50,50,55,55,55,55,55,55,55,55,55,55,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
